link_ID,Kind_num,Kind,Width,Direction,Toll,Const_St,UndConCRID,SnodeID,EnodeID,FuncClass,Length,DetailCity,Through,UnThruCRID,Ownership,Road_Cond,Special,AdminCodeL,AdminCodeR,Uflag,OnewayCRID,AccessCRID,SpeedClass,LaneNumS2E,LaneNumE2S,LaneNum,Vehcl_Type,Elevated,Structure,UseFeeCRID,UseFeeType,SpdLmtS2E,SpdLmtE2S,SpdSrcS2E,SpdSrcE2S,DC_Type,NoPassCRID,OutBanCRID,NumBanCRID,ParkFlag,PHYLaneS2E,PHYLaneE2S,DThrough,DThruCRID,LaneNumSum,MobBriCRID,BusLaneS2E,BusLaneS2ECRID,BusLaneE2S,BusLaneE2SCRID,partition
6305110,1,030a,30,2,2,1,,669788,661921,4,0.03,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,,0,,1,,0,,0,,0
1008873540,1,030a,55,2,2,1,,779982,28269308,2,0.035,1,1,,0,1,0,110102,110102,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
1008873550,1,030a,55,2,2,1,,28269308,23536220,2,0.005,1,1,,0,1,0,110102,110102,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
90000469262160,1,0301,130,2,2,1,,58308613,741237,2,0.011,1,1,,0,1,1,110101,110101,1,,,7,4.0,,3,11110001110000000000000000000000,0,0,,,300.0,,0.0,,1,,,,0,4.0,,0,,4,,0,,0,,0
90000469342590,2,030b|0338,55,2,2,1,,766384,717208,2,0.081,1,1,,0,1,0,110101,110101,1,,,7,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
1009091700,1,060a,30,2,2,1,,774442,58308702,4,0.043,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11110001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
1009091710,1,060a,30,2,2,1,,58308702,46981883,4,0.008,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11110001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
90001753057330,1,0804,30,1,2,1,,58308702,763408,5,0.008,2,1,,0,1,0,110101,110101,1,,,7,1.0,1.0,1,11110001110000000000000000000000,0,0,,,150.0,150.0,0.0,0.0,0,,,,0,0.0,0.0,0,,1,,0,,0,,0
5820090,1,030a,55,2,2,1,,740605,712598,3,0.147,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
1009094170,1,030a,55,2,2,1,,25918661,58308866,3,0.01,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
1009094180,1,030a,55,2,2,1,,58308866,740605,3,0.017,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
130890930,1,030a,55,2,2,1,,754461,11165632,3,0.107,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,3.0,0.0,0,,3,,0,,0,,1
1009094640,1,030a,55,2,2,1,,58308904,58308893,3,0.112,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
1009094380,1,030a,55,2,2,1,,740615,58308895,3,0.019,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
1009094390,1,030a,55,2,2,1,,58308895,754461,3,0.052,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
1009094410,1,030a,55,2,2,1,,58308893,740615,3,0.026,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
90000468417270,1,0304,55,1,2,1,,740614,740615,5,0.04,1,1,,0,1,0,110101,110101,1,,,6,1.0,1.0,1,11110001110000000000000000000000,0,0,,,400.0,400.0,0.0,0.0,1,,,,0,1.0,1.0,0,,2,,0,,0,,0
1009094860,1,030a,130,2,2,1,,58308919,58308918,3,0.064,1,1,,0,1,0,110101,110101,1,,,6,5.0,,3,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,5.0,,0,,5,,0,,0,,0
1009094630,1,030a,55,2,2,1,,717299,58308904,3,0.019,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
1009094760,1,030a,130,2,2,1,,58308918,717299,3,0.055,1,1,,0,1,0,110101,110101,1,,,6,5.0,,3,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,5.0,,0,,5,,0,,0,,0
5776840,2,0302|0304,30,2,2,1,,717292,717299,3,0.04,1,1,,0,1,0,110101,110101,1,,,5,1.0,,1,11110001110000000000000000000000,0,0,,,700.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
90000328407490,1,0601,55,1,2,1,,58308921,58379966,5,0.018,1,1,,0,1,0,110102,110102,1,,,6,2.0,1.0,1,11110001110000000000000000000000,0,0,,,500.0,500.0,1.0,1.0,1,,,,0,2.0,1.0,0,,3,,0,,0,,0
1009094850,1,030a,130,2,2,1,,772956,58308919,3,0.016,1,1,,0,1,0,110101,110101,1,,,6,5.0,,3,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,5.0,,0,,5,,0,,0,,0
90000284270860,2,0304|0316,55,1,2,1,,9000028448520,58308919,3,0.04,2,1,,0,1,0,110101,110101,1,,,6,1.0,1.0,1,11111011110000000000000000000000,0,0,,,500.0,500.0,0.0,0.0,0,,,,0,0.0,0.0,0,,2,,0,,0,,0
132085410,1,0601,55,1,2,1,,10943492,732881,4,0.057,1,1,,0,1,0,110102,110102,1,,,6,1.0,1.0,1,11110001110000000000000000000000,0,0,,,400.0,400.0,0.0,0.0,1,,,,0,1.0,1.0,0,,2,,0,,0,,1
1012482730,1,0602,55,2,2,1,,639594,683224,4,0.06,1,1,,0,1,0,110101,110101,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,1
5619080,1,0602,30,2,2,1,,681466,645483,4,0.016,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11110001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,4.0,,0,,1,,0,,0,,0
1012482750,1,0602,55,2,2,1,,683224,38768127,4,0.034,1,1,,0,1,0,110101,110101,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
1012482770,1,0602,55,2,2,1,,38768127,38768128,4,0.009,1,1,,0,1,0,110101,110101,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
1012482790,1,0602,55,2,2,1,,38768128,645286,4,0.081,1,1,,0,1,0,110101,110101,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
1012482810,1,0602,55,2,2,1,,645286,38768130,4,0.013,1,1,,0,1,0,110101,110101,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
6004211590,1,0602,30,2,2,1,,645284,601262502,5,0.005,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11110001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
1012482850,1,0602,55,2,2,1,,644832,644823,4,0.051,1,1,,0,1,0,110101,110101,1,,,5,2.0,,2,11110001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
