Epoch,Loss,Time
1,0.0192,1.14
2,0.0092,0.74
3,0.0071,0.74
4,0.0071,0.72
5,0.0070,0.76
6,0.0068,0.88
7,0.0067,1.08
8,0.0068,0.87
9,0.0064,0.87
10,0.0065,0.81
11,0.0065,0.83
12,0.0065,0.91
13,0.0063,0.86
14,0.0063,0.80
15,0.0064,0.81
16,0.0065,1.37
17,0.0062,1.42
18,0.0061,0.96
19,0.0062,1.24
20,0.0063,0.83
21,0.0060,1.03
22,0.0065,0.92
23,0.0063,0.92
24,0.0062,0.74
25,0.0062,0.73
26,0.0061,0.80
27,0.0063,0.77
28,0.0061,0.88
29,0.0061,1.07
30,0.0062,1.05
31,0.0063,1.03
32,0.0063,1.01
33,0.0063,0.93
34,0.0060,0.81
35,0.0062,0.88
36,0.0061,0.76
37,0.0060,0.75
38,0.0061,0.75
39,0.0062,0.75
40,0.0063,0.81
41,0.0062,0.74
42,0.0062,0.75
43,0.0060,0.75
44,0.0061,0.76
45,0.0061,0.75
46,0.0062,0.75
47,0.0061,0.77
48,0.0060,0.79
49,0.0061,0.76
50,0.0062,0.98
