epoch=1/20 train_loss=0.0068267 val_loss=0.0060023 elapsed=1.78s
epoch=2/20 train_loss=0.0067538 val_loss=0.0058576 elapsed=2.79s
epoch=3/20 train_loss=0.0066839 val_loss=0.0057782 elapsed=3.67s
epoch=4/20 train_loss=0.0066755 val_loss=0.0057410 elapsed=4.57s
epoch=5/20 train_loss=0.0065797 val_loss=0.0057220 elapsed=5.55s
epoch=6/20 train_loss=0.0066144 val_loss=0.0056701 elapsed=6.42s
epoch=7/20 train_loss=0.0066315 val_loss=0.0056406 elapsed=7.25s
epoch=8/20 train_loss=0.0065917 val_loss=0.0056348 elapsed=7.83s
epoch=9/20 train_loss=0.0066240 val_loss=0.0056326 elapsed=8.46s
epoch=10/20 train_loss=0.0066428 val_loss=0.0056146 elapsed=9.25s
epoch=11/20 train_loss=0.0065595 val_loss=0.0055943 elapsed=10.17s
epoch=12/20 train_loss=0.0065909 val_loss=0.0055844 elapsed=11.03s
epoch=13/20 train_loss=0.0065134 val_loss=0.0055722 elapsed=11.99s
epoch=14/20 train_loss=0.0066320 val_loss=0.0055805 elapsed=12.86s
epoch=15/20 train_loss=0.0066062 val_loss=0.0055857 elapsed=13.66s
epoch=16/20 train_loss=0.0066278 val_loss=0.0055659 elapsed=14.63s
epoch=17/20 train_loss=0.0065975 val_loss=0.0055810 elapsed=15.63s
epoch=18/20 train_loss=0.0065613 val_loss=0.0055924 elapsed=16.49s
epoch=19/20 train_loss=0.0065235 val_loss=0.0055690 elapsed=17.35s
epoch=20/20 train_loss=0.0065715 val_loss=0.0055790 elapsed=18.25s
{"MAE": 3.9524152278900146, "RMSE": 6.018909221694089, "MSE": 36.22726821899414, "MAPE": 0.17334675788879395, "R2": 0.7959225177764893, "train_seconds": 18.873}
