epoch=1/60 train_loss=0.0028804 val_loss=0.0086161 elapsed=23.12s
epoch=2/60 train_loss=0.0023928 val_loss=0.0081573 elapsed=45.03s
epoch=3/60 train_loss=0.0023588 val_loss=0.0080604 elapsed=66.65s
epoch=4/60 train_loss=0.0023555 val_loss=0.0080437 elapsed=88.40s
epoch=5/60 train_loss=0.0023545 val_loss=0.0080370 elapsed=110.68s
epoch=6/60 train_loss=0.0023519 val_loss=0.0080179 elapsed=130.87s
epoch=7/60 train_loss=0.0023541 val_loss=0.0080492 elapsed=150.76s
epoch=8/60 train_loss=0.0023530 val_loss=0.0080441 elapsed=171.38s
epoch=9/60 train_loss=0.0023581 val_loss=0.0080363 elapsed=192.19s
epoch=10/60 train_loss=0.0023532 val_loss=0.0080429 elapsed=212.03s
epoch=11/60 train_loss=0.0023520 val_loss=0.0080568 elapsed=233.55s
epoch=12/60 train_loss=0.0023611 val_loss=0.0080559 elapsed=255.52s
epoch=13/60 train_loss=0.0023544 val_loss=0.0080248 elapsed=275.24s
epoch=14/60 train_loss=0.0023576 val_loss=0.0080532 elapsed=296.07s
epoch=15/60 train_loss=0.0023510 val_loss=0.0080576 elapsed=315.36s
epoch=16/60 train_loss=0.0023564 val_loss=0.0080327 elapsed=336.46s
epoch=17/60 train_loss=0.0023521 val_loss=0.0080182 elapsed=356.60s
epoch=18/60 train_loss=0.0023527 val_loss=0.0080225 elapsed=377.40s
epoch=19/60 train_loss=0.0023556 val_loss=0.0080356 elapsed=398.77s
epoch=20/60 train_loss=0.0023509 val_loss=0.0080682 elapsed=420.09s
epoch=21/60 train_loss=0.0023527 val_loss=0.0080296 elapsed=439.23s
epoch=22/60 train_loss=0.0023541 val_loss=0.0080297 elapsed=460.17s
epoch=23/60 train_loss=0.0023503 val_loss=0.0080508 elapsed=481.93s
epoch=24/60 train_loss=0.0023596 val_loss=0.0080182 elapsed=499.89s
epoch=25/60 train_loss=0.0023539 val_loss=0.0080653 elapsed=521.11s
epoch=26/60 train_loss=0.0023535 val_loss=0.0080318 elapsed=542.50s
epoch=27/60 train_loss=0.0023514 val_loss=0.0080385 elapsed=563.48s
epoch=28/60 train_loss=0.0023491 val_loss=0.0080491 elapsed=584.15s
epoch=29/60 train_loss=0.0023523 val_loss=0.0080455 elapsed=605.31s
epoch=30/60 train_loss=0.0023526 val_loss=0.0080195 elapsed=625.46s
epoch=31/60 train_loss=0.0023501 val_loss=0.0080405 elapsed=643.45s
epoch=32/60 train_loss=0.0023526 val_loss=0.0080467 elapsed=665.17s
epoch=33/60 train_loss=0.0023544 val_loss=0.0080418 elapsed=686.16s
epoch=34/60 train_loss=0.0023504 val_loss=0.0080243 elapsed=707.26s
epoch=35/60 train_loss=0.0023527 val_loss=0.0080441 elapsed=727.74s
epoch=36/60 train_loss=0.0023536 val_loss=0.0080146 elapsed=749.12s
epoch=37/60 train_loss=0.0023532 val_loss=0.0080347 elapsed=770.57s
epoch=38/60 train_loss=0.0023561 val_loss=0.0080339 elapsed=791.43s
epoch=39/60 train_loss=0.0023577 val_loss=0.0080401 elapsed=813.33s
epoch=40/60 train_loss=0.0023519 val_loss=0.0080209 elapsed=834.89s
epoch=41/60 train_loss=0.0023545 val_loss=0.0080507 elapsed=856.08s
epoch=42/60 train_loss=0.0023578 val_loss=0.0080343 elapsed=876.45s
epoch=43/60 train_loss=0.0023527 val_loss=0.0080199 elapsed=898.62s
epoch=44/60 train_loss=0.0023544 val_loss=0.0080611 elapsed=919.28s
epoch=45/60 train_loss=0.0023495 val_loss=0.0080468 elapsed=938.51s
epoch=46/60 train_loss=0.0023499 val_loss=0.0080243 elapsed=955.62s
epoch=47/60 train_loss=0.0023503 val_loss=0.0080149 elapsed=974.54s
epoch=48/60 train_loss=0.0023523 val_loss=0.0080297 elapsed=996.73s
epoch=49/60 train_loss=0.0023503 val_loss=0.0080408 elapsed=1017.04s
epoch=50/60 train_loss=0.0023553 val_loss=0.0080285 elapsed=1038.21s
epoch=51/60 train_loss=0.0023494 val_loss=0.0080520 elapsed=1059.89s
epoch=52/60 train_loss=0.0023596 val_loss=0.0080213 elapsed=1078.69s
epoch=53/60 train_loss=0.0023519 val_loss=0.0080232 elapsed=1099.89s
epoch=54/60 train_loss=0.0023502 val_loss=0.0080192 elapsed=1121.68s
epoch=55/60 train_loss=0.0023537 val_loss=0.0079990 elapsed=1142.24s
epoch=56/60 train_loss=0.0023522 val_loss=0.0080174 elapsed=1163.13s
epoch=57/60 train_loss=0.0023541 val_loss=0.0080481 elapsed=1182.54s
epoch=58/60 train_loss=0.0023503 val_loss=0.0080183 elapsed=1202.82s
epoch=59/60 train_loss=0.0023514 val_loss=0.0080305 elapsed=1222.25s
epoch=60/60 train_loss=0.0023566 val_loss=0.0080345 elapsed=1241.70s
{"MAE": 32.527767181396484, "RMSE": 51.592995243570854, "MSE": 2661.837158203125, "MAPE": 0.14038774371147156, "R2": 0.9106070399284363, "train_seconds": 1256.177}
