epoch=1/60 train_loss=0.1376252 val_loss=0.0926117 elapsed=0.86s
epoch=2/60 train_loss=0.0786734 val_loss=0.0480705 elapsed=1.45s
epoch=3/60 train_loss=0.0395111 val_loss=0.0254042 elapsed=2.09s
epoch=4/60 train_loss=0.0229252 val_loss=0.0248772 elapsed=2.53s
epoch=5/60 train_loss=0.0218393 val_loss=0.0274538 elapsed=2.89s
epoch=6/60 train_loss=0.0204100 val_loss=0.0242944 elapsed=3.26s
epoch=7/60 train_loss=0.0179746 val_loss=0.0216276 elapsed=3.59s
epoch=8/60 train_loss=0.0172108 val_loss=0.0207174 elapsed=3.94s
epoch=9/60 train_loss=0.0173999 val_loss=0.0202817 elapsed=4.27s
epoch=10/60 train_loss=0.0175937 val_loss=0.0198662 elapsed=4.61s
epoch=11/60 train_loss=0.0169922 val_loss=0.0195478 elapsed=4.96s
epoch=12/60 train_loss=0.0165386 val_loss=0.0192930 elapsed=5.39s
epoch=13/60 train_loss=0.0162251 val_loss=0.0189481 elapsed=5.78s
epoch=14/60 train_loss=0.0158019 val_loss=0.0184846 elapsed=6.17s
epoch=15/60 train_loss=0.0154450 val_loss=0.0179892 elapsed=6.55s
epoch=16/60 train_loss=0.0150812 val_loss=0.0175235 elapsed=6.87s
epoch=17/60 train_loss=0.0149140 val_loss=0.0170866 elapsed=7.19s
epoch=18/60 train_loss=0.0145947 val_loss=0.0166619 elapsed=7.54s
epoch=19/60 train_loss=0.0141492 val_loss=0.0162418 elapsed=7.88s
epoch=20/60 train_loss=0.0137629 val_loss=0.0158224 elapsed=8.21s
epoch=21/60 train_loss=0.0134639 val_loss=0.0154010 elapsed=8.60s
epoch=22/60 train_loss=0.0131270 val_loss=0.0149654 elapsed=9.02s
epoch=23/60 train_loss=0.0128369 val_loss=0.0145181 elapsed=9.45s
epoch=24/60 train_loss=0.0124231 val_loss=0.0140657 elapsed=10.03s
epoch=25/60 train_loss=0.0121912 val_loss=0.0136165 elapsed=10.40s
epoch=26/60 train_loss=0.0118593 val_loss=0.0131806 elapsed=10.75s
epoch=27/60 train_loss=0.0115087 val_loss=0.0127487 elapsed=11.08s
epoch=28/60 train_loss=0.0112600 val_loss=0.0123069 elapsed=11.43s
epoch=29/60 train_loss=0.0107893 val_loss=0.0118666 elapsed=11.67s
epoch=30/60 train_loss=0.0105189 val_loss=0.0114296 elapsed=12.03s
epoch=31/60 train_loss=0.0102936 val_loss=0.0110066 elapsed=12.50s
epoch=32/60 train_loss=0.0098850 val_loss=0.0105971 elapsed=12.85s
epoch=33/60 train_loss=0.0095810 val_loss=0.0101972 elapsed=13.21s
epoch=34/60 train_loss=0.0093041 val_loss=0.0098002 elapsed=13.55s
epoch=35/60 train_loss=0.0090877 val_loss=0.0094134 elapsed=13.88s
epoch=36/60 train_loss=0.0087761 val_loss=0.0090540 elapsed=14.22s
epoch=37/60 train_loss=0.0086016 val_loss=0.0087185 elapsed=14.56s
epoch=38/60 train_loss=0.0081508 val_loss=0.0084154 elapsed=14.96s
epoch=39/60 train_loss=0.0079726 val_loss=0.0081310 elapsed=15.33s
epoch=40/60 train_loss=0.0077672 val_loss=0.0078680 elapsed=15.67s
epoch=41/60 train_loss=0.0077272 val_loss=0.0076374 elapsed=16.00s
epoch=42/60 train_loss=0.0075346 val_loss=0.0074438 elapsed=16.35s
epoch=43/60 train_loss=0.0074356 val_loss=0.0072725 elapsed=16.69s
epoch=44/60 train_loss=0.0071762 val_loss=0.0071222 elapsed=17.03s
epoch=45/60 train_loss=0.0071070 val_loss=0.0070051 elapsed=17.30s
epoch=46/60 train_loss=0.0071885 val_loss=0.0069115 elapsed=17.64s
epoch=47/60 train_loss=0.0071086 val_loss=0.0068415 elapsed=17.97s
epoch=48/60 train_loss=0.0069196 val_loss=0.0067895 elapsed=18.31s
epoch=49/60 train_loss=0.0071414 val_loss=0.0067506 elapsed=18.87s
epoch=50/60 train_loss=0.0068118 val_loss=0.0067322 elapsed=19.30s
epoch=51/60 train_loss=0.0068919 val_loss=0.0067152 elapsed=19.65s
epoch=52/60 train_loss=0.0068744 val_loss=0.0067031 elapsed=19.96s
epoch=53/60 train_loss=0.0068791 val_loss=0.0066893 elapsed=20.28s
epoch=54/60 train_loss=0.0068852 val_loss=0.0066779 elapsed=20.51s
epoch=55/60 train_loss=0.0069441 val_loss=0.0066751 elapsed=20.81s
epoch=56/60 train_loss=0.0070092 val_loss=0.0066703 elapsed=21.40s
epoch=57/60 train_loss=0.0068782 val_loss=0.0066583 elapsed=21.78s
epoch=58/60 train_loss=0.0069503 val_loss=0.0066507 elapsed=22.13s
epoch=59/60 train_loss=0.0070111 val_loss=0.0066516 elapsed=22.46s
epoch=60/60 train_loss=0.0069268 val_loss=0.0066590 elapsed=22.80s
{"MAE": 4.374350547790527, "RMSE": 6.386118748096916, "MSE": 40.78251266479492, "MAPE": 0.18450377881526947, "R2": 0.7702616453170776, "train_seconds": 23.122}
