epoch=1/20 train_loss=0.0064037 val_loss=0.0056503 elapsed=45.03s
epoch=2/20 train_loss=0.0063642 val_loss=0.0056470 elapsed=85.98s
epoch=3/20 train_loss=0.0063613 val_loss=0.0056295 elapsed=125.72s
epoch=4/20 train_loss=0.0063694 val_loss=0.0056253 elapsed=167.98s
epoch=5/20 train_loss=0.0063622 val_loss=0.0056119 elapsed=210.38s
epoch=6/20 train_loss=0.0063605 val_loss=0.0056348 elapsed=253.95s
epoch=7/20 train_loss=0.0063622 val_loss=0.0056256 elapsed=289.14s
epoch=8/20 train_loss=0.0063605 val_loss=0.0056213 elapsed=320.10s
epoch=9/20 train_loss=0.0063581 val_loss=0.0056173 elapsed=352.82s
epoch=10/20 train_loss=0.0063654 val_loss=0.0056332 elapsed=383.95s
epoch=11/20 train_loss=0.0063675 val_loss=0.0056317 elapsed=424.77s
epoch=12/20 train_loss=0.0063627 val_loss=0.0056335 elapsed=463.85s
epoch=13/20 train_loss=0.0063595 val_loss=0.0056393 elapsed=500.32s
epoch=14/20 train_loss=0.0063596 val_loss=0.0056307 elapsed=541.77s
epoch=15/20 train_loss=0.0063622 val_loss=0.0056245 elapsed=575.61s
epoch=16/20 train_loss=0.0063616 val_loss=0.0056267 elapsed=618.36s
epoch=17/20 train_loss=0.0063609 val_loss=0.0056332 elapsed=661.07s
epoch=18/20 train_loss=0.0063640 val_loss=0.0056314 elapsed=703.77s
epoch=19/20 train_loss=0.0063611 val_loss=0.0056230 elapsed=742.56s
epoch=20/20 train_loss=0.0063628 val_loss=0.0056315 elapsed=783.04s
{"MAE": 3.381861686706543, "RMSE": 5.2387192647547085, "MSE": 27.44417953491211, "MAPE": 0.1342829465866089, "R2": 0.8446842432022095, "train_seconds": 808.419}
