epoch=1/20 train_loss=0.0028804 val_loss=0.0086161 elapsed=21.22s
epoch=2/20 train_loss=0.0023928 val_loss=0.0081573 elapsed=41.33s
epoch=3/20 train_loss=0.0023588 val_loss=0.0080604 elapsed=61.39s
epoch=4/20 train_loss=0.0023555 val_loss=0.0080437 elapsed=81.80s
epoch=5/20 train_loss=0.0023545 val_loss=0.0080370 elapsed=101.31s
epoch=6/20 train_loss=0.0023519 val_loss=0.0080179 elapsed=122.67s
epoch=7/20 train_loss=0.0023541 val_loss=0.0080492 elapsed=143.66s
epoch=8/20 train_loss=0.0023530 val_loss=0.0080441 elapsed=164.15s
epoch=9/20 train_loss=0.0023581 val_loss=0.0080363 elapsed=185.90s
epoch=10/20 train_loss=0.0023532 val_loss=0.0080429 elapsed=207.21s
epoch=11/20 train_loss=0.0023520 val_loss=0.0080568 elapsed=228.01s
epoch=12/20 train_loss=0.0023611 val_loss=0.0080559 elapsed=247.63s
epoch=13/20 train_loss=0.0023544 val_loss=0.0080248 elapsed=267.48s
epoch=14/20 train_loss=0.0023576 val_loss=0.0080532 elapsed=287.02s
epoch=15/20 train_loss=0.0023510 val_loss=0.0080576 elapsed=303.77s
epoch=16/20 train_loss=0.0023564 val_loss=0.0080327 elapsed=322.86s
epoch=17/20 train_loss=0.0023521 val_loss=0.0080182 elapsed=341.24s
epoch=18/20 train_loss=0.0023527 val_loss=0.0080225 elapsed=360.41s
epoch=19/20 train_loss=0.0023556 val_loss=0.0080356 elapsed=380.15s
epoch=20/20 train_loss=0.0023509 val_loss=0.0080682 elapsed=398.51s
{"MAE": 32.480140686035156, "RMSE": 51.55526937938789, "MSE": 2657.94580078125, "MAPE": 0.14026997983455658, "R2": 0.9107377529144287, "train_seconds": 413.325}
