epoch=1/20 train_loss=0.0199746 val_loss=0.0213928 elapsed=21.31s
epoch=2/20 train_loss=0.0092234 val_loss=0.0194994 elapsed=42.40s
epoch=3/20 train_loss=0.0076049 val_loss=0.0118595 elapsed=63.32s
epoch=4/20 train_loss=0.0070364 val_loss=0.0086987 elapsed=83.77s
epoch=5/20 train_loss=0.0068840 val_loss=0.0081328 elapsed=104.49s
epoch=6/20 train_loss=0.0067753 val_loss=0.0078142 elapsed=125.20s
epoch=7/20 train_loss=0.0066828 val_loss=0.0074103 elapsed=146.51s
epoch=8/20 train_loss=0.0065927 val_loss=0.0072495 elapsed=168.05s
epoch=9/20 train_loss=0.0065209 val_loss=0.0069896 elapsed=189.38s
epoch=10/20 train_loss=0.0064691 val_loss=0.0068745 elapsed=210.14s
epoch=11/20 train_loss=0.0064249 val_loss=0.0068027 elapsed=229.62s
epoch=12/20 train_loss=0.0063895 val_loss=0.0065926 elapsed=249.09s
epoch=13/20 train_loss=0.0063614 val_loss=0.0065442 elapsed=267.51s
epoch=14/20 train_loss=0.0063293 val_loss=0.0064544 elapsed=285.57s
epoch=15/20 train_loss=0.0063045 val_loss=0.0064761 elapsed=304.78s
epoch=16/20 train_loss=0.0062808 val_loss=0.0063950 elapsed=323.54s
epoch=17/20 train_loss=0.0062608 val_loss=0.0063439 elapsed=342.89s
epoch=18/20 train_loss=0.0062487 val_loss=0.0063056 elapsed=361.32s
epoch=19/20 train_loss=0.0062343 val_loss=0.0062984 elapsed=380.56s
epoch=20/20 train_loss=0.0062245 val_loss=0.0062614 elapsed=400.28s
{"MAE": 3.4990134239196777, "RMSE": 5.214571622113215, "MSE": 27.191757202148438, "MAPE": 0.14029160141944885, "R2": 0.8461127281188965, "train_seconds": 419.724}
