epoch=1/20 train_loss=0.0198163 val_loss=0.0321247 elapsed=10.64s
epoch=2/20 train_loss=0.0107154 val_loss=0.0299364 elapsed=20.96s
epoch=3/20 train_loss=0.0079048 val_loss=0.0255219 elapsed=30.68s
epoch=4/20 train_loss=0.0064379 val_loss=0.0202746 elapsed=39.66s
epoch=5/20 train_loss=0.0048582 val_loss=0.0156435 elapsed=48.71s
epoch=6/20 train_loss=0.0037645 val_loss=0.0134973 elapsed=58.12s
epoch=7/20 train_loss=0.0034717 val_loss=0.0128713 elapsed=67.69s
epoch=8/20 train_loss=0.0033277 val_loss=0.0123845 elapsed=77.14s
epoch=9/20 train_loss=0.0032075 val_loss=0.0118419 elapsed=86.43s
epoch=10/20 train_loss=0.0030821 val_loss=0.0114103 elapsed=96.76s
epoch=11/20 train_loss=0.0029819 val_loss=0.0109277 elapsed=106.65s
epoch=12/20 train_loss=0.0028775 val_loss=0.0105345 elapsed=116.64s
epoch=13/20 train_loss=0.0027866 val_loss=0.0101527 elapsed=126.59s
epoch=14/20 train_loss=0.0026981 val_loss=0.0097866 elapsed=135.82s
epoch=15/20 train_loss=0.0026216 val_loss=0.0094338 elapsed=144.87s
epoch=16/20 train_loss=0.0025537 val_loss=0.0090753 elapsed=154.24s
epoch=17/20 train_loss=0.0024878 val_loss=0.0087477 elapsed=163.84s
epoch=18/20 train_loss=0.0024231 val_loss=0.0084490 elapsed=173.08s
epoch=19/20 train_loss=0.0023767 val_loss=0.0081997 elapsed=182.37s
epoch=20/20 train_loss=0.0023389 val_loss=0.0079484 elapsed=191.04s
{"MAE": 34.53792953491211, "RMSE": 50.024908346523986, "MSE": 2502.491455078125, "MAPE": 0.19160307943820953, "R2": 0.9159584045410156, "train_seconds": 199.929}
