epoch=1/20 train_loss=0.1376252 val_loss=0.0926117 elapsed=0.81s
epoch=2/20 train_loss=0.0786734 val_loss=0.0480705 elapsed=1.23s
epoch=3/20 train_loss=0.0395111 val_loss=0.0254042 elapsed=1.52s
epoch=4/20 train_loss=0.0229252 val_loss=0.0248772 elapsed=1.81s
epoch=5/20 train_loss=0.0218393 val_loss=0.0274538 elapsed=2.15s
epoch=6/20 train_loss=0.0204100 val_loss=0.0242944 elapsed=2.48s
epoch=7/20 train_loss=0.0179746 val_loss=0.0216276 elapsed=2.82s
epoch=8/20 train_loss=0.0172108 val_loss=0.0207174 elapsed=3.16s
epoch=9/20 train_loss=0.0173999 val_loss=0.0202817 elapsed=3.47s
epoch=10/20 train_loss=0.0175937 val_loss=0.0198662 elapsed=3.76s
epoch=11/20 train_loss=0.0169922 val_loss=0.0195478 elapsed=4.05s
epoch=12/20 train_loss=0.0165386 val_loss=0.0192930 elapsed=4.35s
epoch=13/20 train_loss=0.0162251 val_loss=0.0189481 elapsed=4.63s
epoch=14/20 train_loss=0.0158019 val_loss=0.0184846 elapsed=4.93s
epoch=15/20 train_loss=0.0154450 val_loss=0.0179892 elapsed=5.23s
epoch=16/20 train_loss=0.0150812 val_loss=0.0175235 elapsed=5.52s
epoch=17/20 train_loss=0.0149140 val_loss=0.0170866 elapsed=5.81s
epoch=18/20 train_loss=0.0145947 val_loss=0.0166619 elapsed=6.11s
epoch=19/20 train_loss=0.0141492 val_loss=0.0162418 elapsed=6.40s
epoch=20/20 train_loss=0.0137629 val_loss=0.0158224 elapsed=6.69s
{"MAE": 8.123373985290527, "RMSE": 10.108545567065784, "MSE": 102.18269348144531, "MAPE": 0.3376038372516632, "R2": 0.4243786334991455, "train_seconds": 6.992}
