case,seed,model,MAE,MSE
beijing_L12,42,static,3.3833675409393678,27.509698053998644
beijing_L12,42,unified,3.305157864341584,25.329918339476876
beijing_L12,42,no_background,3.33500241894144,26.44617223945264
beijing_L12,42,no_dynamic,3.31632632826421,25.410196563007684
beijing_L12,43,static,3.3906382989656105,27.67509933966537
beijing_L12,43,unified,3.305351837974801,25.330791527397892
beijing_L12,43,no_background,3.3356161576672267,26.450892742983175
beijing_L12,43,no_dynamic,3.316629580612198,25.413485442866854
beijing_L12,44,static,3.3659887067555436,27.220250234687164
beijing_L12,44,unified,3.3058747073465935,25.334399907560446
beijing_L12,44,no_background,3.3349298602332973,26.44190856003944
beijing_L12,44,no_dynamic,3.315325608099567,25.4014293624594
beijing_L12,45,static,3.404938680162369,27.3343052314619
beijing_L12,45,unified,3.3116963887045046,25.37916607554436
beijing_L12,45,no_background,3.343496837660209,26.50716877503768
beijing_L12,45,no_dynamic,3.319974039041149,25.445407234959177
beijing_L12,46,static,3.3864576725860753,27.567791488121962
beijing_L12,46,unified,3.304136707802103,25.319885564639083
beijing_L12,46,no_background,3.333552806346259,26.43207288622627
beijing_L12,46,no_dynamic,3.314599906402081,25.393965324892235
beijing_L24,42,static,3.503322071578558,28.24111187659247
beijing_L24,42,unified,3.3750426014258976,25.729528479441925
beijing_L24,42,no_background,3.4020284219751344,26.657960701249078
beijing_L24,42,no_dynamic,3.4032092828318556,25.917062616567428
beijing_L24,43,static,3.4874504814430503,28.18100038364124
beijing_L24,43,unified,3.3741443559067297,25.724657467185423
beijing_L24,43,no_background,3.4004262665573273,26.64926995517562
beijing_L24,43,no_dynamic,3.4034919050843486,25.920175903014176
beijing_L24,44,static,3.54457905710229,28.449455044288282
beijing_L24,44,unified,3.3760871711374456,25.735371578254085
beijing_L24,44,no_background,3.402557723863719,26.64850825138891
beijing_L24,44,no_dynamic,3.404527658110888,25.930996805837186
beijing_L24,45,static,3.5664356099856356,28.518807854309788
beijing_L24,45,unified,3.3774675776726273,25.752932883517808
beijing_L24,45,no_background,3.404361557569377,26.676897103396733
beijing_L24,45,no_dynamic,3.404821473399919,25.935335982195316
beijing_L24,46,static,3.486460864525339,28.104987348009786
beijing_L24,46,unified,3.3743201911978606,25.72729732194205
beijing_L24,46,no_background,3.400577202225436,26.65224128429006
beijing_L24,46,no_dynamic,3.4032824614452695,25.917272624911142
shanghai_L12,42,static,3.9607114567809067,36.39168558977178
shanghai_L12,42,unified,3.8965363801866615,34.73776526601928
shanghai_L12,42,no_background,3.917467337444134,35.62185202395177
shanghai_L12,42,no_dynamic,3.9168683338894046,35.00247393291097
shanghai_L12,43,static,3.9615211659546716,36.408933118290975
shanghai_L12,43,unified,3.8953830073525832,34.717406314744004
shanghai_L12,43,no_background,3.915323878441476,35.60165039436969
shanghai_L12,43,no_dynamic,3.917334176463498,34.99473224183143
shanghai_L12,44,static,3.9655904223194978,36.45954263099741
shanghai_L12,44,unified,3.8969476985412266,34.73667877513086
shanghai_L12,44,no_background,3.91736549844189,35.62630830370984
shanghai_L12,44,no_dynamic,3.9198456111425624,35.0276372162328
shanghai_L12,45,static,3.9661146978253954,36.43922165249081
shanghai_L12,45,unified,3.896453437599182,34.72779532365351
shanghai_L12,45,no_background,3.916638039625019,35.61520503548026
shanghai_L12,45,no_dynamic,3.9190750949230493,35.0176327885241
shanghai_L12,46,static,3.9599814155076665,36.403639206514235
shanghai_L12,46,unified,3.89546532222937,34.715651238488796
shanghai_L12,46,no_background,3.915487174107366,35.60096176223592
shanghai_L12,46,no_dynamic,3.917426632065281,34.99686680921338
shanghai_L24,42,static,4.121507542099643,37.04064055758749
shanghai_L24,42,unified,4.005671182663159,35.1821432902694
shanghai_L24,42,no_background,4.031349352566883,35.72480998720762
shanghai_L24,42,no_dynamic,4.034469524881062,35.63155428516969
shanghai_L24,43,static,4.123224812659545,37.058853441698254
shanghai_L24,43,unified,4.004019930547957,35.13447476627102
shanghai_L24,43,no_background,4.030179068895844,35.67585460263164
shanghai_L24,43,no_dynamic,4.034074607123546,35.618039453317806
shanghai_L24,44,static,4.130333131697107,37.152888734940554
shanghai_L24,44,unified,4.006182237428283,35.18398996495934
shanghai_L24,44,no_background,4.0319916302761225,35.726522269165535
shanghai_L24,44,no_dynamic,4.03441427748606,35.61988453552072
shanghai_L24,45,static,4.127924873413187,37.14052885607916
shanghai_L24,45,unified,4.0020631982095995,35.108728665230345
shanghai_L24,45,no_background,4.027929054413275,35.646543117438846
shanghai_L24,45,no_dynamic,4.0326619782683615,35.595791444177806
shanghai_L24,46,static,4.128710705408693,37.157926638724454
shanghai_L24,46,unified,4.00647504502369,35.18787741902421
shanghai_L24,46,no_background,4.0322652347903105,35.730860059267854
shanghai_L24,46,no_dynamic,4.034666398155905,35.62412387587313
largest_L12,42,static,4.629921660632044,54.20497011292615
largest_L12,42,unified,4.136123046062637,40.036110503908354
largest_L12,42,no_background,4.4583607484122725,48.191949569774344
largest_L12,42,no_dynamic,4.387487648363851,43.53606363272051
largest_L12,43,static,4.617145400997923,53.965851009510104
